persona,campo,ora_inizio,ora_fine,tariffa
NDRRSL63C13I202Q,CAMPO014,14:00,15:00,10.37
MNTCNT43C15F147N,CAMPO025,18:00,20:00,21.62
RCCGSP72C31L707Q,CAMPO042,15:00,16:00,11.69
BRNBNN36T60G827T,CAMPO035,11:00,12:00,11.24
TMBNGL50D47I923O,CAMPO006,10:00,11:00,11.46
TRTLSI58C12E911E,CAMPO014,08:00,10:00,24.24
BDGGDI52R15B756K,CAMPO025,14:00,16:00,22.93
FRRCLD00E56F239H,CAMPO013,10:00,11:00,11.09
RSTMRN54A10C555W,CAMPO014,10:00,11:00,10.01
TNCCRL76L48D569Q,CAMPO006,10:00,11:00,10.15
TMBMRN55B44F840P,CAMPO006,10:00,11:00,13.52
TMBNGL50D47I923O,CAMPO039,18:00,19:00,14.07
RSTMRN54A10C555W,CAMPO027,09:00,10:00,14.82
MGGJCP84D69I643D,CAMPO001,14:00,15:00,12.0
TRCTTE90L21E581V,CAMPO042,10:00,11:00,14.02
VLNMLN29A25D684F,CAMPO045,13:00,14:00,14.75
GSSMRL90B47B758E,CAMPO029,09:00,10:00,14.72
NTNGLN96T64H917C,CAMPO029,08:00,10:00,23.23
NVIGLS13A49H825C,CAMPO002,16:00,17:00,12.84
RTCNCL38L66I899C,CAMPO021,14:00,16:00,23.74
PRZMRL59P49I644E,CAMPO014,15:00,16:00,11.35
MZZGFR53P55L172G,CAMPO027,09:00,10:00,10.12
BTTRFL78H50H675I,CAMPO006,17:00,19:00,22.89
GRTTZN63M14B891U,CAMPO022,17:00,18:00,13.72
NOIDNG52L60L061W,CAMPO014,14:00,16:00,20.6
CSTTNI63R20E791N,CAMPO025,13:00,16:00,33.43
SREVRC70E19G802R,CAMPO044,17:00,18:00,13.18
TDSDNL07S25B218U,CAMPO002,08:00,09:00,11.05
LPPGLT97H11F337Z,CAMPO030,13:00,14:00,12.47
SLTRFL31L21D766D,CAMPO042,10:00,11:00,11.5
GLLBRR31M49I984X,CAMPO009,12:00,13:00,10.17
TLNVRC76D19G294B,CAMPO032,11:00,12:00,13.84
SCTVLR43A15B501H,CAMPO011,09:00,10:00,11.08
NSTJLD78B04G074V,CAMPO001,14:00,15:00,14.91
GRGMNL45P63H014I,CAMPO011,16:00,17:00,14.98
SCTVLR43A15B501H,CAMPO025,13:00,16:00,32.01
MGGJCP84D69I643D,CAMPO002,16:00,17:00,13.75
SNSGRC45T71F106E,CAMPO022,17:00,18:00,13.95
GDNPSL45A62I007Y,CAMPO014,14:00,15:00,14.58
BBAPRN15P27A552K,CAMPO036,15:00,16:00,11.48
TLNVRC76D19G294B,CAMPO031,11:00,12:00,12.82
CTLLND16D15G859K,CAMPO018,14:00,15:00,12.38
CSTFBA97T13C080A,CAMPO025,08:00,09:00,13.73
RSTMRN54A10C555W,CAMPO006,17:00,19:00,23.09
SRESYV46P24A965O,CAMPO025,08:00,10:00,20.71
GLTSTN64P13C561G,CAMPO025,08:00,10:00,23.71
GRNGSV39M49M377L,CAMPO014,08:00,09:00,14.79
PVNMCL00B63H059Q,CAMPO042,10:00,11:00,11.93
SNSGRC45T71F106E,CAMPO024,15:00,16:00,10.99
CCRGSN77L53A601X,CAMPO018,14:00,15:00,14.88
BRNBNN36T60G827T,CAMPO045,12:00,13:00,12.87
VNLBLD08B64E040R,CAMPO001,13:00,14:00,12.83
SNSGRC45T71F106E,CAMPO001,13:00,14:00,12.36
GNNGSN40E59G619K,CAMPO045,12:00,14:00,21.52
BDGGDI52R15B756K,CAMPO006,10:00,11:00,12.37
NCHMLS79L13G189Q,CAMPO002,16:00,18:00,22.57
PSCBLD77S61D548L,CAMPO007,12:00,13:00,11.2
NVIGLS13A49H825C,CAMPO036,15:00,16:00,12.33
TMBNGL50D47I923O,CAMPO025,15:00,16:00,13.85
MNCLCZ48R27E158T,CAMPO013,10:00,11:00,14.44
DNSRNT83L67A970K,CAMPO011,18:00,19:00,12.78
GNNGSN40E59G619K,CAMPO001,13:00,16:00,32.02
BBAPRN15P27A552K,CAMPO017,15:00,16:00,14.35
GRGVNL79B28F146O,CAMPO025,08:00,09:00,13.33
NCLGSV25R44B203F,CAMPO039,18:00,19:00,11.56
TMBMRN55B44F840P,CAMPO002,16:00,17:00,14.93
SRESYV46P24A965O,CAMPO028,15:00,16:00,10.58
FNTRFL42S59H639U,CAMPO011,09:00,10:00,12.51
GRTTZN63M14B891U,CAMPO035,11:00,12:00,12.37
FNTRFL42S59H639U,CAMPO028,08:00,09:00,12.59
FNTRFL42S59H639U,CAMPO026,14:00,15:00,14.3
LCRFRC30P02I292T,CAMPO001,09:00,10:00,10.0
LCRFRC30P02I292T,CAMPO014,09:00,11:00,23.72
NSTJLD78B04G074V,CAMPO039,18:00,19:00,12.18
CTLLND16D15G859K,CAMPO002,14:00,15:00,10.76
PVRLNE81R13C727L,CAMPO001,13:00,14:00,14.52
VNDGLN28B13I290T,CAMPO014,10:00,11:00,13.97
RMNPMN84D54C300K,CAMPO011,09:00,10:00,12.17
RMNDRA85D64L859X,CAMPO014,14:00,16:00,20.2
CNVRTR51S60L506S,CAMPO038,13:00,14:00,14.28
GNNGSN40E59G619K,CAMPO049,17:00,18:00,12.89
NPLRNT59B61C860V,CAMPO014,09:00,11:00,22.07
GRGMNL45P63H014I,CAMPO014,09:00,11:00,23.93
CHDGCT34C41D042E,CAMPO040,17:00,18:00,10.78
CSTFBA97T13C080A,CAMPO016,18:00,19:00,10.71
TNCCRL76L48D569Q,CAMPO024,11:00,12:00,13.45
CRLVCR40B04G335M,CAMPO014,08:00,10:00,23.49
PRGNCI60M53G119E,CAMPO014,08:00,11:00,34.15
