codice,via,comune,tariffa/h,responsabile
CAMPO001,Incrocio Ilaria,Padova,55,PSLMLS64D13F603Q
CAMPO002,Incrocio Pinamonte,Vigodarzere,70,MNTDRA34A27L282M
CAMPO003,Viale Gritti,Padova,70,SCTLBT90E49A465L
CAMPO004,Borgo Sante,Vigodarzere,55,MGGSNT76L71H784P
CAMPO005,Incrocio Ilaria,Padova,60,LGRNRC52D41D189V
CAMPO006,Viale Gritti,Padova,55,GRGTZN61A27B671F
CAMPO007,Incrocio Pinamonte,Vigodarzere,,JCZLLL32D21D052A
CAMPO008,Incrocio Ilaria,Padova,55,MRTPPZ96P67E930S
CAMPO009,Borgo Sante,Vigodarzere,70,MRLNNE98A61D154Z
CAMPO010,Incrocio Pinamonte,Vigodarzere,75,MSTSIA36S27B398L
CAMPO011,Incrocio Ilaria,Padova,70,DNRMLD29M03G666Y
CAMPO012,Viale Gritti,Padova,55,ZCCFLV47L63B358V
CAMPO013,Viale Gritti,Padova,75,TBLRSL75A12C294J
CAMPO014,Incrocio Ilaria,Padova,55,PSCPRI19A57D998L
CAMPO015,Via Patrizia,Padova,80,TRTSSN98C18B918C
CAMPO016,Via Patrizia,Padova,75,CMLMNC21S08H454S
CAMPO017,Incrocio Ilaria,Padova,,LNCNNT37D05F610A
CAMPO018,Incrocio Pinamonte,Vigodarzere,,CNDMTT62A51C014C
CAMPO019,Via Patrizia,Padova,80,BRNZRA48R14G454E
CAMPO020,Borgo Sante,Vigodarzere,80,PTRRLD66P65D541N
CAMPO021,Viale Gritti,Padova,,PRLPRI63P56A440G
CAMPO022,Incrocio Pinamonte,Vigodarzere,55,FLLMLN14B16D298J
CAMPO023,Borgo Sante,Vigodarzere,,TMONNT39D23E370K
CAMPO024,Viale Gritti,Padova,70,SGSMRC52T71L106K
CAMPO025,Incrocio Pinamonte,Vigodarzere,,SRCNCI28R42A653N
CAMPO026,Via Patrizia,Padova,55,SRERSR99R04G673K
CAMPO027,Via Patrizia,Padova,80,CNTLRZ76D69B587Q
CAMPO028,Incrocio Ilaria,Padova,75,CSNLVI00A70F813K
CAMPO029,Via Patrizia,Padova,,TRPGSP37E11H583W
CAMPO030,Incrocio Ilaria,Padova,60,CREFLP47B20E364W
CAMPO031,Via Patrizia,Padova,60,CLMCLD06S57L529B
CAMPO032,Viale Gritti,Padova,55,BFFGRG10R24A176B
CAMPO033,Via Patrizia,Padova,60,NCLTNO79P15C283O
CAMPO034,Incrocio Ilaria,Padova,70,SKLMNC73L28B086A
CAMPO035,Via Patrizia,Padova,80,GNNTNI43B09L816S
CAMPO036,Via Patrizia,Padova,55,FRRNCL08H68E154G
CAMPO037,Viale Gritti,Padova,55,PRZSNT59C66C444Q
CAMPO038,Via Patrizia,Padova,55,GBRMRS76E31E543V
CAMPO039,Via Patrizia,Padova,,FNTPRG11C59H336D
CAMPO040,Incrocio Pinamonte,Vigodarzere,75,CMMSRN55R16I102Z
CAMPO041,Via Patrizia,Padova,80,PRPPLT01M22L887N
CAMPO042,Borgo Sante,Vigodarzere,60,FLPMRA26H63I801L
CAMPO043,Incrocio Ilaria,Padova,70,PRGDNT76E67B985T
CAMPO044,Borgo Sante,Vigodarzere,80,LCNLNR08D15L453G
CAMPO045,Incrocio Ilaria,Padova,60,TZZCHR64E04L445Q
CAMPO046,Incrocio Ilaria,Padova,55,BLZGTN76M47D383Y
CAMPO047,Via Patrizia,Padova,55,BBGFBZ67D04B644J
CAMPO048,Incrocio Ilaria,Padova,75,BRMNNT09C18G303M
CAMPO049,Borgo Sante,Vigodarzere,,SRCDLM77T46F370A
CAMPO050,Incrocio Pinamonte,Vigodarzere,70,FOASLV69R60C893R
CAMPO051,Via Patrizia,Padova,60,SLTGNT17D43B278J
CAMPO052,Via Patrizia,Padova,75,RTHFBZ75A05I032X
CAMPO053,Via Patrizia,Padova,60,SLVLCN67C53F365C
CAMPO054,Incrocio Pinamonte,Vigodarzere,,CRDRDF32S55E820T
CAMPO055,Via Patrizia,Padova,,DNRGNI28A49G074U
