studente,codice_attivita,data
RCCSTN11M20M361D,AT003,2023-12-14
NVIGLS13A49H825C,AT003,2023-12-14
RCCSTN11M20M361D,AT003,2025-07-28
NVIGLS13A49H825C,AT003,2025-07-28
NVIGLS13A49H825C,AT003,2025-09-26
RCCSTN11M20M361D,AT003,2025-09-26
NVIGLS13A49H825C,AT003,2025-03-27
RCCSTN11M20M361D,AT003,2025-03-27
RCCSTN11M20M361D,AT003,2024-11-13
NVIGLS13A49H825C,AT003,2024-11-13
RCCSTN11M20M361D,AT004,2023-06-02
CNVRTR51S60L506S,AT004,2023-06-02
NVIGLS13A49H825C,AT004,2023-06-02
NDRRSL63C13I202Q,AT004,2023-06-02
BRSRMN48R47G618I,AT004,2023-06-02
NDRRSL63C13I202Q,AT004,2023-08-22
BRSRMN48R47G618I,AT004,2023-08-22
NVIGLS13A49H825C,AT004,2023-08-22
CNVRTR51S60L506S,AT004,2023-08-22
RCCSTN11M20M361D,AT004,2023-08-22
RCCSTN11M20M361D,AT004,2023-05-09
CNVRTR51S60L506S,AT004,2023-05-09
BRSRMN48R47G618I,AT004,2023-05-09
NDRRSL63C13I202Q,AT004,2023-05-09
NVIGLS13A49H825C,AT004,2023-05-09
CNVRTR51S60L506S,AT004,2025-09-06
BRSRMN48R47G618I,AT004,2025-09-06
RCCSTN11M20M361D,AT004,2025-09-06
NVIGLS13A49H825C,AT004,2025-09-06
NDRRSL63C13I202Q,AT004,2025-09-06
BRSRMN48R47G618I,AT004,2023-05-18
NDRRSL63C13I202Q,AT004,2023-05-18
NVIGLS13A49H825C,AT004,2023-05-18
RCCSTN11M20M361D,AT004,2023-05-18
CNVRTR51S60L506S,AT004,2023-05-18
CSRFBA42A09D621L,AT005,2023-05-08
GRNGSV39M49M377L,AT005,2023-05-08
PZZLME65R58E536P,AT005,2023-05-08
CMRRFL96A49H547E,AT005,2023-05-08
SLTRFL31L21D766D,AT005,2023-05-08
SREVRC70E19G802R,AT005,2023-05-08
BTTPRC08B07B138D,AT005,2023-05-08
NTNGLN96T64H917C,AT005,2023-05-08
VNLBLD08B64E040R,AT005,2023-05-08
BRNBNN36T60G827T,AT005,2023-05-08
CSTTNI63R20E791N,AT005,2023-05-08
BTTRFL78H50H675I,AT005,2023-05-08
PVNMCL00B63H059Q,AT005,2023-05-08
SCRRMD90P69E498W,AT005,2023-05-08
RSTMRN54A10C555W,AT005,2023-05-08
GNNGSN40E59G619K,AT005,2023-05-08
PVRLNE81R13C727L,AT005,2023-05-08
NVIGLS13A49H825C,AT005,2025-04-12
SLTRFL31L21D766D,AT005,2025-04-12
SLMVNN25T48M411I,AT005,2025-04-12
MCCLGN24M22H920Z,AT005,2025-04-12
RSTMRN54A10C555W,AT005,2025-04-12
CTLGVN53C01E026W,AT005,2025-04-12
BRNBNN36T60G827T,AT005,2025-04-12
MZZMCL39T44C567T,AT005,2025-04-12
