codice_fiscale,nome,cognome,eta,sesso,immatricolato
TBLRSL75A12C294J,Nicoletta,Bixio,30,F,true
BFFGRG10R24A176B,Letizia,Cutrufo,45,F,false
SRERSR99R04G673K,Girolamo,Volterra,36,M,false
CRDRMG02D43D569E,Lazzaro,Catalano,26,M,false
BRNZRA48R14G454E,Angelica,Balla,43,F,false
GRGTZN61A27B671F,Benito,Olivetti,49,M,false
TMONNT39D23E370K,Giorgia,Fogazzaro,45,F,false
PRTGLI03B51G976G,Marissa,Modigliani,27,F,true
CMLMNC21S08H454S,Franco,Valguarnera,38,M,false
BSNCLR23A46L477D,Arnaldo,Valentino,50,M,false
PTRRLD66P65D541N,Camillo,Zecchini,47,M,false
LNCNNT37D05F610A,Sylvia,Bellò,43,F,false
LGRNRC52D41D189V,Eva,Parpinel,32,F,false
BNNGSP50S27C865U,Antonia,Randazzo,26,F,true
BRMNNT09C18G303M,Federica,Cavanna,36,F,false
NCLTNO79P15C283O,Isabella,Botta,31,F,false
GRFRND29L53F455R,Mariana,Salata,35,F,false
BSSTNN97T50E336D,Tonia,Tanzini,37,F,false
DNRMLD29M03G666Y,Tiziano,Zeffirelli,31,M,true
MRRRNR89L66F294W,Toni,Morrocco,37,M,false
CSNLVI00A70F813K,Ugolino,Praga,36,M,false
FNTTNF12P67G957F,Girolamo,Morpurgo,26,M,true
BRRRLD97S55G358O,Antonia,Villadicani,47,F,false
BRMLND31L43L643Z,Lucia,Fanucci,42,F,false
CREFLP47B20E364W,Lisa,Nicolucci,39,F,false
PSCPRI19A57D998L,Giacobbe,Ferrata,33,M,false
SCTLBT90E49A465L,Giuseppina,Liguori,31,F,true
VRCLNE32A41E470Y,Mirko,Sbarbaro,50,M,false
SRCNCI28R42A653N,Rosario,Sabatini,35,M,false
MSTSIA36S27B398L,Maurizio,Bocelli,47,M,false
BLLVLT56H12B716F,Ettore,Prodi,46,M,false
RNZZRA68P05C705S,Michele,Carpaccio,42,M,false
SKLMNC73L28B086A,Gioffre,Gentileschi,50,M,false
GRMLDI66L29D790Y,Lucia,Ferretti,43,F,false
PRLPRI63P56A440G,Giancarlo,Monte,28,M,true
CRLCRN17P25G438H,Ugo,Dossi,42,M,false
MGGSNT76L71H784P,Federico,Ceci,48,M,false
PRGDNT76E67B985T,Ottavio,Zola,37,M,false
CMMSRN55R16I102Z,Livio,Nicoletti,32,M,false
FNTPRG11C59H336D,Venancio,Canil,48,M,false
MRLNNE98A61D154Z,Marina,Verga,34,F,false
DNRGNI28A49G074U,Eleanora,Scalera,49,F,false
BLZGTN76M47D383Y,Gianpaolo,Anguissola,50,M,false
RROLVI10T21B496L,Maria,Iadanza,35,F,false
SMLFRZ50A59I657V,Fernanda,Bragadin,29,F,true
CNTLRZ76D69B587Q,Bruno,Tiepolo,47,M,false
PRPPLT01M22L887N,Paloma,Contarini,45,F,false
GNNTNI43B09L816S,Cassandra,Antonini,25,F,true
TRTSSN98C18B918C,Francesco,Satta,40,M,false
BBGFBZ67D04B644J,Monica,Treccani,26,F,true
PSLMLS64D13F603Q,Pierina,Zabarella,32,F,false
CRDRDF32S55E820T,Ruggiero,Parisi,30,M,true
PRZSNT59C66C444Q,Michelangelo,Rastelli,25,M,true
TZZCHR64E04L445Q,Ugolino,Pasolini,26,M,false
LMBRMN94B11E602K,Marcella,Montalcini,44,F,false
CNDMTT62A51C014C,Rita,Filangieri,41,F,false
SRCDLM77T46F370A,Giacinto,Duse,47,M,false
FLLMLN14B16D298J,Silvestro,Finetti,49,M,false
SMNNDA14L21E342Q,Venancio,Scalera,36,M,false
GLPPSL91L48A310V,Morena,Pavone,28,F,true
CLMCLD06S57L529B,Isabella,Iacobucci,45,F,false
TRRMRN36S23D180O,Amalia,Nitti,42,F,false
SGSMRC52T71L106K,Loredana,Petralli,38,F,false
TRPGSP37E11H583W,Rosaria,Comisso,40,F,false
MNTDRA34A27L282M,Calogero,Avogadro,27,M,true
GBRMRS76E31E543V,Annunziata,Donatoni,25,F,true
MRTPPZ96P67E930S,Adamo,Panicucci,45,M,false
SLTGNT17D43B278J,Daniele,Naccari,45,M,false
RMTTNN85T53I684U,Claudia,Piazzi,40,F,false
FRMGRC89P21L975T,Antonina,Pizzetti,40,F,false
JCZLLL32D21D052A,Federigo,Procacci,25,M,true
ZCCFLV47L63B358V,Lisa,Pellico,27,F,true
RTHFBZ75A05I032X,Silvestro,Crisafulli,44,M,false
FRRNCL08H68E154G,Sonia,Giorgetti,44,F,false
FOASLV69R60C893R,Rodolfo,Bignardi,27,M,true
FLPMRA26H63I801L,Fiorino,Randazzo,45,M,false
CSTGLR79A22E259D,Carla,Garobbio,44,F,false
CHTMME30P18B385P,Fabrizia,Olivetti,34,F,false
LCNLNR08D15L453G,Massimo,Endrizzi,50,M,false
SLVLCN67C53F365C,Piero,Paolucci,27,M,true
