codice_fiscale,nome,cognome,eta,sesso,universita
PZZLME65R58E536P,Gianmarco,Tosto,21,M,Politecnico di Milano
CSRFBA42A09D621L,Amadeo,Pietrangeli,22,M,La Sapienza
CRSTTR84R60H765J,Alfredo,Letta,31,M,Politecnico di Torino
RMNDRA85D64L859X,Paolo,Caccioppoli,20,M,Università di Trento
MRSRGR79R44G020X,Camilla,Trapanese,22,F,La Sapienza
MLPBRC37E23A519G,Pasquale,Galvani,23,M,Università di Trento
CTLLND16D15G859K,Federigo,Magnani,24,M,Politecnico di Milano
LCRFRC30P02I292T,Lisa,Ferrara,25,F,Politecnico di Torino
RSTMRN54A10C555W,Alderano,Briccialdi,22,M,Università di Trento
BDGGDI52R15B756K,Adele,Gatto,28,F,Università di Trento
PNCJCP35S49G556I,Agostino,Zampa,26,M,Università di Trento
CRLVCR40B04G335M,Rita,Scotto,22,F,La Sapienza
SLMVNN25T48M411I,Guarino,Marzorati,34,M,Politecnico di Torino
TRTLSI58C12E911E,Berenice,Tencalla,26,F,Università di Padova
BBAPRN15P27A552K,Enzo,Gioberti,33,M,Università di Padova
PPETTV44T45B606A,Vincenza,Tarantini,33,F,La Sapienza
MGGJCP84D69I643D,Marina,Florio,33,F,Politecnico di Milano
DSUGLM27E11F369U,Lucrezia,Ferragni,34,F,Politecnico di Torino
TNNBNT63P41B720D,Giovanna,Montesano,19,F,Politecnico di Torino
NPLRNT59B61C860V,Fabia,Ricciardi,34,F,Università di Trento
PRGNCI60M53G119E,Evangelista,Jacuzzi,32,F,Politecnico di Milano
PVNMCL00B63H059Q,Alberto,Luria,22,M,Politecnico di Milano
CNVRTR51S60L506S,Bianca,Gabrieli,18,F,Politecnico di Torino
MNTCNT43C15F147N,Melina,Rosselli,19,F,Università di Padova
MNCLCZ48R27E158T,Veronica,Ferragni,19,F,Università di Padova
TRCTTE90L21E581V,Hugo,Corcos,31,M,La Sapienza
BRSRMN48R47G618I,Giulietta,Soffici,18,F,La Sapienza
TMBCLD34H25A957R,Gabriella,Mengolo,29,F,La Sapienza
NVIGLS13A49H825C,Simone,Trevisan,18,M,Politecnico di Torino
NTNGLN96T64H917C,Fabrizio,Vigliotti,29,M,Politecnico di Milano
GRTTZN63M14B891U,Stella,Babbo,20,F,La Sapienza
GLTLVR97T19F766D,Tiziana,Angeli,35,F,Università di Padova
CSTFBA97T13C080A,Natalia,Bottigliero,32,F,Politecnico di Torino
BTTTRT28M66F162R,Donatello,Vitturi,27,M,Politecnico di Torino
BRNBNN36T60G827T,Sabatino,Baresi,30,M,La Sapienza
NOIDNG52L60L061W,Flora,Morricone,24,F,Università di Padova
CMRRFL96A49H547E,Dionigi,Giunti,24,M,Università di Padova
TLNVRC76D19G294B,Margherita,Santoro,32,F,Politecnico di Milano
PGLNTN80R29A713Y,Luciana,Armellini,23,F,La Sapienza
VNLBLD08B64E040R,Hugo,Bondumier,35,M,Università di Padova
SCTVLR43A15B501H,Michelotto,Mascagni,23,M,Università di Padova
TMSNCL01B50L384G,Sante,Verri,28,M,Politecnico di Torino
TMBMRN55B44F840P,Gioacchino,Canova,32,M,Università di Trento
SRESYV46P24A965O,Marta,Tanzini,34,F,Università di Padova
CMPDLA89D15H442X,Federica,Catenazzi,29,F,Università di Padova
VLNMLN29A25D684F,Lorenzo,Borromini,33,M,La Sapienza
TDSDNL07S25B218U,Ilaria,Gagliano,19,F,Politecnico di Torino
CHDGCT34C41D042E,Nicoletta,Ravaglioli,19,F,Università di Padova
ZRLDMA40L64B091A,Livia,Canali,35,F,Università di Padova
GRNGSV39M49M377L,Maurizio,Ceci,19,M,Università di Trento
PVRLNE81R13C727L,Pasqual,Barcella,23,M,La Sapienza
TRSPLG87P67L438G,Sonia,Jovinelli,28,F,Politecnico di Torino
PTRSNN22T41A863I,Flavia,Bocca,26,F,Università di Padova
SREVRC70E19G802R,Ernesto,Ajello,35,M,Università di Padova
CTLGVN53C01E026W,Matteo,Baresi,20,M,La Sapienza
LNTLSU98B10G625L,Alina,Franscini,23,F,Università di Trento
GDNPSL45A62I007Y,Aria,Micca,33,F,Università di Trento
NSTJLD78B04G074V,Jacopo,Fantoni,25,M,La Sapienza
TNCCRL76L48D569Q,Benedetto,Sagredo,22,M,Politecnico di Milano
GSSMRL90B47B758E,Giuliano,Bandello,22,M,La Sapienza
RGNSRS53E64B790Q,Simonetta,Tafuri,34,F,Politecnico di Torino
BBGNNS07B09B428X,Giada,Castiglione,27,F,Università di Padova
RMNPMN84D54C300K,Paulina,Cicala,35,F,Politecnico di Milano
NCLGSV25R44B203F,Biagio,Rizzoli,23,M,Politecnico di Milano
SLTRFL31L21D766D,Gionata,Longhena,19,M,Università di Trento
