codice_fiscale,nome,cognome,eta,sesso,immatricolato
RTCNCL37S53B929O,Francesca,Scarpetta,19,F,false
BRMGNG63R58G703R,Liana,Guarana,19,F,true
FRMGRG43S26D958B,Francesca,Capuana,23,F,true
GRTBNC84E10H893P,Nanni,Finetti,24,M,true
GRGPLM73B23L474N,Fredo,Pedroni,21,M,true
GTTMCL47A62M417N,Gelsomina,Scaduto,24,F,false
PGLLPD61P51E009C,Antonino,Sanudo,27,M,false
FLLSVR34H62G696B,Benito,Rossini,16,M,false
MRSRNT91A06D718Z,Ottavio,Scarpetta,18,M,false
GRGNTL88P11L245T,Iolanda,Vittadello,17,F,false
CCRNCT41R23B202M,Giuseppe,Andreotti,23,M,true
PLZPTZ67R54F958D,Bettina,Calbo,18,F,false
RSSTLC59H53I026K,Giacinto,Lucarelli,24,M,true
FVTGRN35T55C055K,Elladio,Pareto,26,M,true
PZZMND63C13C962V,Martina,Odescalchi,23,F,false
ZCCMRA88C15B520J,Elisa,Iadanza,14,F,false
PNTPLA12M15D693N,Ronaldo,Trincavelli,18,M,false
CSNCRI36R42F620K,Patrizia,Marzorati,27,F,true
VLTGCM07E60D956W,Dina,Sermonti,14,F,false
ZNCGMM68T26C829T,Melina,Salvo,16,F,false
MNTLCZ42M23D769P,Elisa,Satriani,18,F,false
VCLNGL11P44M106V,Giorgio,Gangemi,28,M,true
MSTFBZ12D29H477W,Nicola,Paruta,16,M,false
CSSGSI95P52D858Q,Angelina,Boldù,18,F,false
BRGMBT52E45E161K,Ermenegildo,Durante,25,M,false
GRCBNT91D45H289I,Victoria,Notarbartolo,16,F,false
PRTGMM29C10H990Z,Claudia,Pellegrini,14,F,false
CRVMRA53H06D054O,Mattia,Iannotti,14,M,false
SRCMTT73D59L514K,Sylvia,Liverotti,22,F,true
PDVVTR50S02B282N,Ugolino,Iacovelli,15,M,false
MNCLNE31B11E490Z,Viridiana,Russo,25,F,true
TLRRTI70E11C178X,Carla,Mazzeo,30,F,true
BNCLPN31S68H407T,Morena,Petralli,17,F,false
GCCGLR18A13I678L,Michele,Sommaruga,24,M,false
PZZSIA07H11M118Q,Gianluca,Soderini,28,M,true
