persona,data,costo
RTCNCL37S53B929O,2024-07-12,15
BRMGNG63R58G703R,2024-09-20,0
FRMGRG43S26D958B,2021-11-03,0
GRTBNC84E10H893P,2022-03-08,0
GRGPLM73B23L474N,2023-11-29,0
GTTMCL47A62M417N,2022-10-22,15
PGLLPD61P51E009C,2021-03-06,15
FLLSVR34H62G696B,2021-11-04,15
MRSRNT91A06D718Z,2021-06-27,15
GRGNTL88P11L245T,2023-01-20,15
CCRNCT41R23B202M,2022-06-18,0
PLZPTZ67R54F958D,2024-11-11,15
RSSTLC59H53I026K,2023-01-20,0
FVTGRN35T55C055K,2024-05-24,0
PZZMND63C13C962V,2021-06-28,15
ZCCMRA88C15B520J,2024-05-18,15
PNTPLA12M15D693N,2024-03-03,15
CSNCRI36R42F620K,2021-10-26,0
VLTGCM07E60D956W,2022-03-18,15
ZNCGMM68T26C829T,2024-04-30,15
MNTLCZ42M23D769P,2024-10-05,15
VCLNGL11P44M106V,2021-07-19,0
MSTFBZ12D29H477W,2022-12-26,15
CSSGSI95P52D858Q,2024-11-19,15
BRGMBT52E45E161K,2023-04-02,15
GRCBNT91D45H289I,2024-08-02,15
PRTGMM29C10H990Z,2021-05-25,15
CRVMRA53H06D054O,2021-10-30,15
SRCMTT73D59L514K,2021-02-09,0
PDVVTR50S02B282N,2022-07-26,15
MNCLNE31B11E490Z,2024-09-01,0
TLRRTI70E11C178X,2023-08-06,0
BNCLPN31S68H407T,2023-07-21,15
GCCGLR18A13I678L,2022-01-18,15
PZZSIA07H11M118Q,2021-10-11,0
CMBTTV14R50C801G,2023-09-15,15
GRSSRS40R61F600C,2021-06-15,15
FRRMCL61C42B246R,2021-03-24,0
CHNCRN19M22E887H,2021-02-26,15
BRRMSM71C60M398I,2022-11-03,0
GRMDRN94R43A330Z,2024-06-18,0
RCCVLT41L12F165Z,2024-11-22,15
GCCSNT80D59G986Z,2021-11-15,15
GRZDRN99A09E649T,2023-12-02,15
BRZRMN87C03L775S,2022-03-12,15
